64,11591
89,8536
91,11718
67,9896
66,8180
138,10906
103,9706
128,10878
99,9196
77,10350
134,9516
133,8762
122,8044
129,11757
145,10120
64,12000
72,9752
125,11785
147,9079
149,9057
89,8126
66,9058
97,8981
98,11434
132,8372
126,10024
92,8889
121,10785
134,10088
72,11940
76,10206
111,11734
103,10552
141,10935
68,8284
131,10898
110,8177
100,8461
91,9721
135,11581
81,8010
141,9557
146,11797
83,11836
122,8738
110,9965
117,8459
84,8570
84,10886
146,11858
85,8959
104,9143
70,9326
129,11144
135,10924
89,9650
65,8834
59,8476
62,8060
123,11294
138,9871
142,10804
92,10577
138,10937
139,10817
96,9691
74,8595
98,10822
132,10558
116,10155
87,10689
110,9023
99,9699
121,9043
72,11207
149,9562
116,8561
110,8382
129,9396
107,8175
101,8942
108,8965
120,10568
90,11626
74,11277
67,10382
91,9486
102,8458
103,9527
114,9826
148,11987
136,9563
85,10932
108,8663
95,9041
86,11990
68,9656
68,10924
105,11823
141,9911
79,8537
146,8030
109,10425
84,10542
135,11774
99,10414
147,11343
129,8366
100,9438
131,11275
146,10645
91,8146
145,11129
114,10678
121,8103
105,10383
76,8297
122,9398
72,9581
141,8634
135,11561
120,11751
94,9834
114,9870
104,9652
140,11067
137,11719
69,8419
128,9969
62,11914
108,9906
92,8153
65,10853
139,9165
84,10123
132,9203
146,9898
113,8701
104,8309
80,8520
71,9321
86,10316
77,11932
92,10677
139,10055
125,10788
127,8073
146,8739
86,11815
92,8731
127,8365
64,9691
87,9469
74,10807
132,11615
96,10593
66,8213
99,10812
112,11610
77,8282
131,9404
105,10779
95,10700
66,9325
107,9331
60,8955
73,9370
74,9077
86,9378
108,10088
88,9323
120,10717
137,11244
147,10268
106,10178
79,8949
78,11961
110,11875
69,8392
99,9822
120,9975
135,8852
104,8702
61,10385
108,10128
122,9440
148,8959
135,10260
80,9042
75,10987
113,10533
90,8381
143,11205
112,11693
106,9850
71,10228
74,11853
114,9850
130,11424
129,8410
