298,27022
274,29545
217,22893
138,25144
224,24140
199,28766
277,27298
264,27157
254,27066
280,20190
203,25250
249,20652
240,24889
156,26821
276,29167
218,28901
201,21392
159,29894
177,24460
279,25147
204,24397
186,28067
300,22115
234,21536
120,26164
259,20008
177,27274
243,24177
157,26806
248,28365
137,28287
258,20817
158,26296
134,22135
292,23888
190,29476
245,22692
260,22840
196,27839
155,22821
154,20113
164,29833
144,28198
228,23981
269,21768
298,21577
162,22571
159,21016
245,26347
246,27948
